Channel Name,Order Count,TP,Avg TP,CP,Avg CP,Cont,Avg.Cont,Total CC,Avg CC,Date
music zone TAMIL,1099,1053773,959,1561501,1421,507728,462,237251,216,2020-10-20
Murasu TV,256,295665,1155,424844,1660,129180,505,59650,233,2020-10-20
K tv,227,296275,1305,452273,1992,155998,687,58326,257,2020-10-20
kalaignar,77,123426,1603,177923,2311,54497,708,18725,243,2020-10-20
Our Website,17,16177,952,24483,1440,8307,489,2583,152,2020-10-20
Thamizh Vision TV,17,26927,1584,33183,1952,6256,368,3283,193,2020-10-20
vaigai tv,15,12662,844,19185,1279,6523,435,2738,183,2020-10-20
Tamil TV,10,6000,600,9990,999,3990,399,2090,209,2020-10-20
RTO - Reorder,1,520,520,999,999,479,479,199,199,2020-10-20
Total,1719,1831425,1065,2704381,1573,872956,508,384845,224,2020-10-20
music zone TAMIL,881,756406,859,1188019,1348,431613,490,178469,203,2020-10-21
Murasu TV,211,146918,696,248589,1178,101671,482,48145,228,2020-10-21
K tv,201,261735,1302,408999,2035,147264,733,48206,240,2020-10-21
kalaignar,124,140333,1132,209876,1693,69544,561,28827,232,2020-10-21
Thamizh Vision TV,39,23622,606,36561,937,12939,332,6816,175,2020-10-21
vaigai tv,24,12480,520,23976,999,11496,479,4828,201,2020-10-21
Tamil TV,13,15600,1200,20787,1599,5187,399,2288,176,2020-10-21
Our Website,13,12397,954,18587,1430,6190,476,1987,153,2020-10-21
RTO - Reorder,1,3200,3200,3999,3999,799,799,399,399,2020-10-21
Total,1507,1372691,911,2159393,1433,786702,522,319965,212,2020-10-21
music zone TAMIL,879,675277,768,1116221,1270,440944,502,183964,209,2020-10-22
K tv,244,383475,1572,569256,2333,185781,761,58910,241,2020-10-22
Murasu TV,190,273083,1437,378210,1991,105127,553,45767,241,2020-10-22
kalaignar,77,115175,1496,164423,2135,49248,640,18625,242,2020-10-22
Thamizh Vision TV,22,70400,3200,87978,3999,17578,799,5828,265,2020-10-22
vaigai tv,22,12128,551,21978,999,9851,448,3979,181,2020-10-22
Tamil TV,14,16758,1197,22386,1599,5628,402,3436,245,2020-10-22
Our Website,6,7236,1206,10994,1832,3758,626,894,149,2020-10-22
RTO - Reorder,3,3240,1080,5397,1799,2157,719,697,232,2020-10-22
Total,1457,1556772,1068,2376843,1631,820071,563,322100,221,2020-10-22
music zone TAMIL,920,743800,808,1174480,1277,430680,468,193727,211,2020-10-23
Murasu TV,244,288161,1181,419756,1720,131595,539,58660,240,2020-10-23
K tv,132,146195,1108,245368,1859,99173,751,31122,236,2020-10-23
kalaignar,130,145322,1118,210870,1622,65548,504,30974,238,2020-10-23
Thamizh Vision TV,37,36969,999,42363,1145,5394,146,8713,235,2020-10-23
vaigai tv,28,16800,600,27972,999,11172,399,6172,220,2020-10-23
Raj Digital Plus,25,11058,442,24975,999,13917,557,5027,201,2020-10-23
Our Website,19,14257,750,23181,1220,8924,470,2831,149,2020-10-23
Tamil TV,17,9860,580,16983,999,7123,419,3684,217,2020-10-23
RTO - Reorder,1,450,450,999,999,549,549,199,199,2020-10-23
Total,1553,1412872,910,2186947,1408,774075,498,341109,220,2020-10-23
music zone TAMIL,981,727806,742,1201619,1225,473813,483,201760,206,2020-10-24
Murasu TV,260,244930,942,367540,1414,122610,472,56800,218,2020-10-24
kalaignar,126,85646,680,154874,1229,69228,549,28077,223,2020-10-24
K tv,75,98940,1319,149925,1999,50985,680,18927,252,2020-10-24
vaigai tv,34,19706,580,33966,999,14260,419,6320,186,2020-10-24
Thamizh Vision TV,23,22475,977,32777,1425,10302,448,4878,212,2020-10-24
Tamil TV,17,22961,1351,33983,1999,11022,648,4334,255,2020-10-24
Raj Digital Plus,13,17160,1320,25987,1999,8827,679,3087,237,2020-10-24
Our Website,11,7386,671,12789,1163,5403,491,1639,149,2020-10-24
YOUTUBE,1,1512,1512,1999,1999,487,487,99,99,2020-10-24
Total,1541,1248522,810,2015459,1308,766937,498,325921,211,2020-10-24
music zone TAMIL,1037,753926,727,1212263,1169,458337,442,215909,208,2020-10-25
Murasu TV,217,192660,888,283983,1309,91324,421,47042,217,2020-10-25
K tv,115,345000,3000,436885,3799,91885,799,28687,249,2020-10-25
Thamizh Vision TV,53,53075,1001,53547,1010,472,9,11547,218,2020-10-25
Puthu Yugam TV,41,21320,520,40959,999,19639,479,7312,178,2020-10-25
Raj Digital Plus,40,23800,595,39960,999,16160,404,8010,200,2020-10-25
vaigai tv,19,25060,1319,37981,1999,12921,680,4781,252,2020-10-25
Tamil TV,13,15561,1197,20787,1599,5226,402,2788,214,2020-10-25
Our Website,9,6632,737,9991,1110,3359,373,1391,155,2020-10-25
RTO - Reorder,2,953,477,1998,999,1045,522,398,199,2020-10-25
YOUTUBE,1,1197,1197,1599,1599,402,402,299,299,2020-10-25
Total,1547,1439184,930,2139953,1383,700769,453,328164,212,2020-10-25
music zone TAMIL,963,941815,978,1423437,1478,481622,500,203080,211,2020-10-26
Murasu TV,230,216561,942,331270,1440,114709,499,52579,229,2020-10-26
K tv,175,230760,1319,349825,1999,119065,680,44276,253,2020-10-26
Thamizh Vision TV,46,35400,770,54954,1195,19554,425,9557,208,2020-10-26
Raj Digital Plus,31,16120,520,30969,999,14849,479,5771,186,2020-10-26
vaigai tv,14,12110,865,18186,1299,6076,434,2040,146,2020-10-26
Our Website,9,6046,672,10491,1166,4445,494,1341,149,2020-10-26
Tamil TV,5,2250,450,4995,999,2745,549,596,119,2020-10-26
RTO - Reorder,1,410,410,999,999,589,589,199,199,2020-10-26
Total,1474,1461472,992,2225126,1510,763654,518,319439,217,2020-10-26
music zone TAMIL,839,905667,1079,1333861,1590,428194,510,182200,217,2020-10-27
Murasu TV,160,156419,978,239640,1498,83221,520,37145,232,2020-10-27
K tv,138,266146,1929,379362,2749,113216,820,34367,249,2020-10-27
