Channel Name,Order Count,TP,Avg TP,CP,Avg CP,Cont,Avg.Cont,Total CC,Avg CC,Date
kalaignar,31,40340,1301,61969,1999,21629,698,7719,249,2020-11-13
vaigai tv,24,12480,520,23976,999,11496,479,5228,218,2020-11-13
Raj Digital Plus,22,9768,444,21978,999,12210,555,5128,233,2020-11-13
Tamil TV,17,7650,450,16983,999,9333,549,3784,223,2020-11-13
Our Website,10,7186,719,11690,1169,4504,450,1590,159,2020-11-13
Total,1448,1563950,1080,2301602,1590,737652,509,321907,222,2020-11-13
music zone TAMIL,1141,1002646,879,1483659,1300,481013,422,245160,215,2020-11-14
K tv,449,318860,710,544351,1212,225491,502,103169,230,2020-11-14
Murasu TV,174,123602,710,212726,1223,89124,512,40729,234,2020-11-14
Thamizh Vision TV,21,21640,1030,32979,1570,11339,540,4880,232,2020-11-14
